,title,start_time,end_time,word,stutter_type,
0,p000001s000001w000001,0,0.995,"Um,",i,
1,p000001s000001w000002,0.995,1.055,I,n,
2,p000001s000001w000003,1.055,1.055,came,n,
3,p000001s000001w000004,1.055,1.055,up,n,
4,p000001s000001w000005,1.055,1.105,on,n,
5,p000001s000001w000006,1.105,1.365,the,n,
6,p000001s000001w000007,1.365,2.53,train,n,
7,p000001s000001w000008,2.53,2.805,to,n,
8,p000001s000001w000009,2.805,4.17,here.,n,
9,p000001s000001w000010,4.17,4.27,Er,i,
10,p000001s000001w000011,4.27,4.42,we,n,
11,p000001s000001w000012,4.42,4.62,got,n,
12,p000001s000001w000013,4.62,4.79,on,n,
13,p000001s000001w000014,4.79,4.845,the,n,
14,p000001s000001w000015,4.845,5.13,train,n,
15,p000001s000001w000016,5.13,5.21,at,n,
16,p000001s000001w000017,5.21,7.3,"Sutton,",n,
17,p000001s000001w000018,7.3,7.785,and,n,
18,p000001s000001w000019,7.785,8.04,it,n,
19,p000001s000001w000020,8.04,8.24,took,n,
20,p000001s000001w000021,8.24,8.74,us,n,
21,p000001s000001w000022,8.74,9.025,"ages,",n,
22,p000001s000001w000023,9.025,9.365,cause,n,
23,p000001s000001w000024,9.365,9.46,we,n,
24,p000001s000001w000025,9.46,9.605,got,n,
25,p000001s000001w000026,9.605,9.745,on,n,
26,p000001s000001w000027,9.745,9.79,the,n,
27,p000001s000001w000028,9.79,10.15,slow,n,
28,p000001s000001w000029,10.15,10.63,train,n,
29,p000001s000001w000030,10.63,12.065,to,n,
30,p000001s000001w000031,12.065,12.835,um,i,
31,p000001s000001w000032,12.835,13.035,to,n,
32,p000001s000001w000033,13.035,14.395,Victoria.,n,
33,p000001s000001w000034,14.395,15.85,Then,n,
34,p000001s000001w000035,15.85,16.1,er,i,
35,p000001s000001w000036,16.1,16.21,we,n,
36,p000001s000001w000037,16.21,16.26,got,n,
37,p000001s000001w000038,16.26,16.395,on,n,
38,p000001s000001w000039,16.395,16.49,the,n,
39,p000001s000001w000040,16.49,17.02,underground,n,
40,p000001s000001w000041,17.02,17.44,train,n,
41,p000001s000001w000042,17.44,19.28,to,n,
42,p000001s000001w000043,19.28,19.475,um,i,
43,p000001s000001w000044,19.475,19.635,to,n,
44,p000001s000001w000045,19.635,19.93,Warren,n,
45,p000001s000001w000046,19.93,20.985,"Street,",n,
46,p000001s000001w000047,20.985,21.1,and,n,
47,p000001s000001w000048,21.1,21.195,we,n,
48,p000001s000001w000049,21.195,21.41,got,n,
49,p000001s000001w000050,21.41,21.91,off,n,
50,p000001s000001w000051,21.91,22.055,the,n,
51,p000001s000001w000052,22.055,23.43,train,n,
52,p000001s000001w000053,23.43,23.49,at,n,
53,p000001s000001w000054,23.49,23.675,Warren,n,
54,p000001s000001w000055,23.675,25.88,Street,n,
55,p000001s000001w000056,25.88,25.97,"yeah,",n,
56,p000001s000001w000057,25.97,26.045,um.,i,
57,p000001s000001w000058,26.045,26.06,"Erm,",i,
58,p000001s000001w000059,26.06,26.34,then,n,
59,p000001s000001w000060,26.34,26.395,we,n,
60,p000001s000001w000061,26.395,27.245,walked,n,
61,p000001s000001w000062,27.245,27.88,from,n,
62,p000001s000001w000063,27.88,28.09,Warren,n,
63,p000001s000001w000064,28.09,28.295,Street,n,
64,p000001s000001w000065,28.295,28.33,no,n,
65,p000001s000001w000066,28.33,28.38,we,n,
66,p000001s000001w000067,28.38,28.44,"didn't,",n,
67,p000001s000001w000068,28.44,28.455,um.,i,
68,p000001s000001w000069,28.455,28.49,WE,ph,
69,p000001s000001w000070,28.49,31.85,GOT,ph,
70,p000001s000001w000071,31.85,32.04,ON,ph,
71,p000001s000001w000072,32.04,32.105,WE,ph,
72,p000001s000001w000073,32.105,32.315,GOT,ph,
73,p000001s000001w000074,32.315,32.445,ON,ph,
74,p000001s000001w000075,32.445,32.56,the,n,
75,p000001s000001w000076,32.56,32.97,Northern,n,
76,p000001s000001w000077,32.97,34.195,"Line,",n,
77,p000001s000001w000078,34.195,34.675,and,n,
78,p000001s000001w000079,34.675,34.905,we,n,
79,p000001s000001w000080,34.905,35.105,got,n,
80,p000001s000001w000081,35.105,35.25,on,n,
81,p000001s000001w000082,35.25,35.345,the,n,
82,p000001s000001w000083,35.345,35.8,train,n,
83,p000001s000001w000084,35.8,36.215,to,n,
84,p000001s000001w000085,36.215,36.5,Goodge,n,
85,p000001s000001w000086,36.5,38.335,Street.,n,
86,p000001s000001w000087,38.335,39.595,ANDSSSSSS,p,
87,p000001s000001w000088,39.595,39.67,UM,i,
88,p000001s000001w000089,39.67,39.715,AND,w,
89,p000001s000001w000090,39.715,39.89,we,n,
90,p000001s000001w000091,39.89,40.15,got,n,
91,p000001s000001w000092,40.15,40.275,the,n,
92,p000001s000001w000093,40.275,40.51,train,n,
93,p000001s000001w000094,40.51,40.725,there,n,
94,p000001s000001w000095,40.725,41.52,AND,ph,
95,p000001s000001w000096,41.52,41.765,WE,ph,
96,p000001s000001w000097,41.765,41.905,AND,ph,
97,p000001s000001w000098,41.905,41.925,WE,ph,
98,p000001s000001w000099,41.925,42.33,walked,n,
99,p000001s000001w000100,42.33,42.37,all,n,
100,p000001s000001w000101,42.37,42.62,the,n,
101,p000001s000001w000102,42.62,42.705,way,n,
102,p000001s000001w000103,42.705,42.72,to,n,
103,p000001s000001w000104,42.72,42.925,City,n,
104,p000001s000001w000105,42.925,45.465,University.,n,
105,p000001s000001w000106,45.465,45.705,And,n,
106,p000001s000001w000107,45.705,46.205,er.,i,
107,p000001s000001w000108,46.205,47.885,Now,n,
108,p000001s000001w000109,47.885,48.025,I'm,n,
109,p000001s000001w000110,48.025,48.22,doing,n,
110,p000001s000001w000111,48.22,48.315,this,n,
111,p000001s000001w000112,48.315,48.75,speech,n,
112,p000001s000001w000113,48.75,53.25,recording.,n,
113,p000001s000001w000114,53.25,53.405,Um.,i,
114,p000001s000001w000115,53.405,58.53,And,n,
115,p000001s000001w000116,58.53,58.705,I,n,
116,p000001s000001w000117,58.705,59.245,yesterday,n,
117,p000001s000001w000118,59.245,59.425,I,n,
118,p000001s000001w000119,59.425,59.43,went,n,
119,p000001s000001w000120,59.43,59.43,in,n,
120,p000001s000001w000121,59.43,59.475,to,n,
121,p000001s000001w000122,59.475,59.815,Oxford,n,
122,p000001s000001w000123,59.815,59.96,Street,n,
123,p000001s000001w000124,59.96,60.205,on,n,
124,p000001s000001w000125,60.205,60.39,the,n,
125,p000001s000001w000126,60.39,60.97,bus.,n,
126,p000001s000001w000127,60.97,62.235,"Erm,",i,
127,p000001s000001w000128,62.235,62.89,did,n,
128,p000001s000001w000129,62.89,63.15,some,n,
129,p000001s000001w000130,63.15,63.465,Christmas,n,
130,p000001s000001w000131,63.465,63.605,"shopping,",n,
131,p000001s000001w000132,63.605,65.325,and,n,
132,p000001s000001w000133,65.325,67.015,then,n,
133,p000001s000001w000134,67.015,67.185,came,n,
134,p000001s000001w000135,67.185,67.46,MU-,s,
135,p000001s000001w000136,67.46,68.235,AFTER,n,
136,p000001s000001w000137,68.235,68.26,HAVING,n,is he even stuttering É
137,p000001s000001w000138,68.26,69.1,MCDONALDS,n,
138,p000001s000001w000139,69.1,70.835,CAME,n,
139,p000001s000001w000140,70.835,71.77,HOME.,n,
140,p000001s000001w000141,71.77,74.1,Er.,i,
141,p000001s000001w000142,74.1,74.445,It,n,
142,p000001s000001w000143,74.445,78.775,was,n,
143,p000001s000001w000144,78.775,79.525,fun.,n,
144,p000001s000001w000145,79.525,79.525,Um.,i,
145,p000001s000001w000146,79.525,79.695,After,n,
146,p000001s000001w000147,79.695,80.235,this,n,
147,p000001s000001w000148,80.235,80.525,I'm,n,
148,p000001s000001w000149,80.525,80.935,going,n,
149,p000001s000001w000150,80.935,82.205,to,n,
150,p000001s000001w000151,82.205,82.295,do,n,
151,p000001s000001w000152,82.295,82.5,some,n,
152,p000001s000001w000153,82.5,82.71,more,n,
153,p000001s000001w000154,82.71,83.08,shopping.,n,
154,p000001s000001w000155,83.08,85.02,Because,n,
155,p000001s000001w000156,85.02,85.045,I'VE,w,
156,p000001s000001w000157,85.045,85.385,I'VE,w,
157,p000001s000001w000158,85.385,85.41,been,n,
158,p000001s000001w000159,85.41,85.705,given,n,
159,p000001s000001w000160,85.705,85.895,10,n,
160,p000001s000001w000161,85.895,86.255,pounds,n,
161,p000001s000001w000162,86.255,86.44,to,n,
162,p000001s000001w000163,86.44,86.59,get,n,
163,p000001s000001w000164,86.59,86.72,a,n,
164,p000001s000001w000165,86.72,86.96,Christmas,n,
165,p000001s000001w000166,86.96,87.165,present,n,
166,p000001s000001w000167,87.165,87.565,with,n,
167,p000001s000001w000168,87.565,88.095,"myself,",n,
168,p000001s000001w000169,88.095,89.085,by,n,
169,p000001s000001w000170,89.085,89.47,um,i,
170,p000001s000001w000171,89.47,90.93,I,n,
171,p000001s000001w000172,90.93,91.15,think,n,
172,p000001s000001w000173,91.15,91.315,it's,n,
173,p000001s000001w000174,91.315,91.36,an,n,
174,p000001s000001w000175,91.36,91.475,uncle,n,
175,p000001s000001w000176,91.475,91.89,and,n,
