,title,start_time,end_time,word,stutter_type,
0,p000001s000001w000001,0,0.665,"Um,",i,
1,p000001s000001w000002,0.665,0.73,"really,",n,
2,p000001s000001w000003,0.73,0.76,last,n,
3,p000001s000001w000004,0.76,0.765,holiday,n,
4,p000001s000001w000005,0.765,0.765,I,n,
5,p000001s000001w000006,0.765,1.56,went,n,
6,p000001s000001w000007,1.56,1.6,to,n,
7,p000001s000001w000008,1.6,1.67,America,n,
8,p000001s000001w000009,1.67,1.67,to,n,
9,p000001s000001w000010,1.67,1.67,see,n,
10,p000001s000001w000011,1.67,1.67,my,n,
11,p000001s000001w000012,1.67,1.67,auntie,n,
12,p000001s000001w000013,1.67,1.695,and,n,
13,p000001s000001w000014,1.695,1.795,uncle.,n,
14,p000001s000001w000015,1.795,2.59,And,n,
15,p000001s000001w000016,2.59,2.86,"um,",i,
16,p000001s000001w000017,2.86,3.105,she,n,
17,p000001s000001w000018,3.105,3.525,has,n,
18,p000001s000001w000019,3.525,3.695,a,n,
19,p000001s000001w000020,3.695,4.215,cat,n,
20,p000001s000001w000021,4.215,5.115,and,n,
21,p000001s000001w000022,5.115,5.495,three,n,
22,p000001s000001w000023,5.495,7.28,"dogs,",n,
23,p000001s000001w000024,7.28,9.65,it,n,
24,p000001s000001w000025,9.65,11.765,SSSOAwiming,p,
25,p000001s000001w000026,11.765,11.765,pool.,n,
26,p000001s000001w000027,11.765,11.765,And,n,
27,p000001s000001w000028,11.765,11.765,we,n,
28,p000001s000001w000029,11.765,11.765,went,n,
29,p000001s000001w000030,11.765,11.765,to,n,
30,p000001s000001w000031,11.765,11.765,the,n,
31,p000001s000001w000032,11.765,11.765,ice-cream,n,
32,p000001s000001w000033,11.765,11.765,parlour,n,
33,p000001s000001w000034,11.765,11.765,a,n,
34,p000001s000001w000035,11.765,11.765,lot,n,
35,p000001s000001w000036,11.765,11.77,and,n,
36,p000001s000001w000037,11.77,11.77,um,i,
37,p000001s000001w000038,11.77,11.77,but,n,
38,p000001s000001w000039,11.77,11.77,it,n,
39,p000001s000001w000040,11.77,11.77,was,n,
40,p000001s000001w000041,11.77,11.775,so,n,
