p000001s000001w000001,0.000,1.385,"I"
p000001s000001w000002,1.385,1.515,"PLAY"
p000001s000001w000003,1.515,1.905,"FOR"
p000001s000001w000004,1.905,2.845,"A,"
p000001s000001w000005,2.845,3.100,"I"
p000001s000001w000006,3.100,3.245,"PLAY"
p000001s000001w000007,3.245,3.465,"FOR"
p000001s000001w000008,3.465,3.705,"A"
p000001s000001w000009,3.705,4.025,"FA"
p000001s000001w000010,4.025,4.240,"A"
p000001s000001w000011,4.240,4.880,"F"
p000001s000001w000012,4.880,5.665,"A"
p000001s000001w000013,5.665,5.840,"FA"
p000001s000001w000014,5.840,6.050,"FAW"
p000001s000001w000015,6.050,6.275,"A"
p000001s000001w000016,6.275,6.540,"FA"
p000001s000001w000017,6.540,6.695,"AI"
p000001s000001w000018,6.695,7.505,"FF"
p000001s000001w000019,7.505,8.055,"football"
p000001s000001w000020,8.055,8.330,"KLA"
p000001s000001w000021,8.330,8.585,"club"
p000001s000001w000022,8.585,10.315,"called"
p000001s000001w000023,10.315,10.855,"Springfield"
p000001s000001w000024,10.855,12.275,"FC."
p000001s000001w000025,12.275,12.545,"And"
p000001s000001w000026,12.545,12.605,"we"
p000001s000001w000027,12.605,12.855,"had"
p000001s000001w000028,12.855,12.925,"a"
p000001s000001w000029,12.925,13.645,"tournament"
p000001s000001w000030,13.645,13.915,"J"
p000001s000001w000031,13.915,14.535,"J"
p000001s000001w000032,14.535,15.395,"J"
p000001s000001w000033,15.395,15.485,"JER"
p000001s000001w000034,15.485,15.485,"J"
p000001s000001w000035,15.485,15.485,"J"
p000001s000001w000036,15.485,15.485,"JER"
p000001s000001w000037,15.485,15.580,"JA"
p000001s000001w000038,15.580,15.865,"just"
p000001s000001w000039,15.865,16.035,"two"
p000001s000001w000040,16.035,16.315,"days"
p000001s000001w000041,16.315,17.090,"ago,"
p000001s000001w000042,17.090,17.175,"AA"
p000001s000001w000043,17.175,17.710,"AND"
p000001s000001w000044,17.710,18.105,"AND"
p000001s000001w000045,18.105,18.675,"WEE"
p000001s000001w000046,18.675,18.830,"DIN"
p000001s000001w000047,18.830,19.170,"WI"
p000001s000001w000048,19.170,19.880,"unfortunately"
p000001s000001w000049,19.880,20.205,"WE"
p000001s000001w000050,20.205,20.410,"WE"
p000001s000001w000051,20.410,20.635,"didn't"
p000001s000001w000052,20.635,20.660,"GO"
p000001s000001w000053,20.660,20.910,"GO"
p000001s000001w000054,20.910,21.420,"through"
p000001s000001w000055,21.420,21.945,"TER"
p000001s000001w000056,21.945,21.970,"TO"
p000001s000001w000057,21.970,21.980,"THE"
p000001s000001w000058,21.980,22.170,"TO"
p000001s000001w000059,22.170,22.355,"THE"
p000001s000001w000060,22.355,22.810,"quarter"
p000001s000001w000061,22.810,24.480,"finals."
p000001s000001w000062,24.480,24.625,"BUT"
p000001s000001w000063,24.625,24.820,"THEN"
p000001s000001w000064,24.820,25.595,"WA"
p000001s000001w000065,25.595,25.685,"AR"
p000001s000001w000066,25.685,25.845,"BUT"
p000001s000001w000067,25.845,26.185,"THEN"
p000001s000001w000068,26.185,26.485,"OTHER"
p000001s000001w000069,26.485,26.605,"THE"
p000001s000001w000070,26.605,27.795,"OTHER"
p000001s000001w000071,27.795,28.580,"team,"
p000001s000001w000072,28.580,28.720,"WHICH"
p000001s000001w000073,28.720,28.725,"IS"
p000001s000001w000074,28.725,28.925,"WHICH"
p000001s000001w000075,28.925,29.135,"IS"
p000001s000001w000076,29.135,29.450,"team"
p000001s000001w000077,29.450,29.530,"b,"
p000001s000001w000078,29.530,29.585,"W"
p000001s000001w000079,29.585,30.465,"W"
p000001s000001w000080,30.465,30.730,"WA"
p000001s000001w000081,30.730,30.780,"WA"
p000001s000001w000082,30.780,31.160,"went"
p000001s000001w000083,31.160,31.270,"through,"
p000001s000001w000084,31.270,31.575,"and"
p000001s000001w000085,31.575,31.970,"they"
p000001s000001w000086,31.970,32.240,"won"
p000001s000001w000087,32.240,32.330,"the"
p000001s000001w000088,32.330,34.620,"finals."
p000001s000001w000089,34.620,34.950,"Um,"
p000001s000001w000090,34.950,37.095,"now"
p000001s000001w000091,37.095,37.340,"let's"
p000001s000001w000092,37.340,37.705,"talk"
p000001s000001w000093,37.705,39.440,"about"
p000001s000001w000094,39.440,39.500,"K"
p000001s000001w000095,39.500,39.640,"K"
p000001s000001w000096,39.640,40.010,"KRER"
p000001s000001w000097,40.010,40.240,"KA"
p000001s000001w000098,40.240,40.270,"R"
p000001s000001w000099,40.270,41.070,"K"
p000001s000001w000100,41.070,42.280,"cricket."
p000001s000001w000101,42.280,44.060,"Um"
p000001s000001w000102,44.060,45.645,"THE"
p000001s000001w000103,45.645,45.900,"THE"
p000001s000001w000104,45.900,45.975,"THE"
p000001s000001w000105,45.975,46.240,"LAST"
p000001s000001w000106,46.240,47.000,"THE"
p000001s000001w000107,47.000,47.105,"THE"
p000001s000001w000108,47.105,47.820,"LAST"
p000001s000001w000109,47.820,48.205,"TEI"
p000001s000001w000110,48.205,48.325,"T"
p000001s000001w000111,48.325,49.040,"TEI"
p000001s000001w000112,49.040,49.380,"T"
p000001s000001w000113,49.380,49.710,"TEI"
p000001s000001w000114,49.710,50.315,"TEI"
p000001s000001w000115,50.315,50.825,"TEI"
p000001s000001w000116,50.825,51.235,"test"
p000001s000001w000117,51.235,52.370,"between"
p000001s000001w000118,52.370,52.720,"um"
p000001s000001w000119,52.720,53.475,"England"
p000001s000001w000120,53.475,53.735,"and"
p000001s000001w000121,53.735,53.755,"New"
p000001s000001w000122,53.755,54.320,"Zealand,"
p000001s000001w000123,54.320,55.245,"I"
p000001s000001w000124,55.245,55.320,"I"
p000001s000001w000125,55.320,55.605,"I"
p000001s000001w000126,55.605,55.925,"I"
p000001s000001w000127,55.925,56.240,"I"
p000001s000001w000128,56.240,56.410,"I"
p000001s000001w000129,56.410,58.490,"IIIngland"
p000001s000001w000130,58.490,58.820,"won"
p000001s000001w000131,58.820,60.155,"with"
p000001s000001w000132,60.155,60.605,"um"
p000001s000001w000133,60.605,61.235,"two"
p000001s000001w000134,61.235,61.560,"hundred"
p000001s000001w000135,61.560,61.915,"and"
p000001s000001w000136,61.915,62.345,"FAW"
p000001s000001w000137,62.345,63.210,"FFFAW"
p000001s000001w000138,63.210,63.300,"forty"
p000001s000001w000139,63.300,63.575,"one"
p000001s000001w000140,63.575,64.655,"runs"
p000001s000001w000141,64.655,65.120,"a"
p000001s000001w000142,65.120,65.240,"to"
p000001s000001w000143,65.240,65.255,"ER"
p000001s000001w000144,65.255,66.660,"one"
p000001s000001w000145,66.660,66.920,"I"
p000001s000001w000146,66.920,68.245,"think."
p000001s000001w000147,68.245,68.465,"And"
p000001s000001w000148,68.465,68.565,"er,"
p000001s000001w000149,68.565,69.780,"and"
p000001s000001w000150,69.780,70.370,"DH"
p000001s000001w000151,70.370,70.570,"THE"
p000001s000001w000152,70.570,71.000,"first"
p000001s000001w000153,71.000,71.600,"game"
p000001s000001w000154,71.600,72.460,"N"
p000001s000001w000155,72.460,72.710,"New"
p000001s000001w000156,72.710,73.095,"Zealand"
p000001s000001w000157,73.095,77.495,"won."
p000001s000001w000158,77.495,77.785,"Um,"
p000001s000001w000159,77.785,79.110,"what"
p000001s000001w000160,79.110,79.445,"else"
p000001s000001w000161,79.445,79.620,"can"
p000001s000001w000162,79.620,79.705,"we"
p000001s000001w000163,79.705,79.920,"talk"
p000001s000001w000164,79.920,80.180,"about"
p000001s000001w000165,80.180,82.490,"now?"
p000001s000001w000166,82.490,85.275,"M"
p000001s000001w000167,85.275,87.075,"hobbies."
p000001s000001w000168,87.075,87.740,"Um,"
p000001s000001w000169,87.740,87.950,"my"
p000001s000001w000170,87.950,88.435,"hobbies"
p000001s000001w000171,88.435,88.705,"are,"
p000001s000001w000172,88.705,90.200,"I've"
p000001s000001w000173,90.200,90.345,"told"
p000001s000001w000174,90.345,90.405,"you"
p000001s000001w000175,90.405,90.560,"that"
p000001s000001w000176,90.560,90.880,"already"
p000001s000001w000177,90.880,91.050,"but"
p000001s000001w000178,91.050,91.200,"I'll"
p000001s000001w000179,91.200,91.515,"say"
p000001s000001w000180,91.515,91.600,"it"
p000001s000001w000181,91.600,92.280,"again."
p000001s000001w000182,92.280,93.055,"Um,"
p000001s000001w000183,93.055,94.835,"swimming,"
p000001s000001w000184,94.835,95.435,"wrestling,"
p000001s000001w000185,95.435,95.470,"um"
p000001s000001w000186,95.470,96.870,"playing"
p000001s000001w000187,96.870,97.445,"F"
p000001s000001w000188,97.445,97.455,"F"
p000001s000001w000189,97.455,97.455,"F"
p000001s000001w000190,97.455,97.455,"F"
p000001s000001w000191,97.455,97.455,"F"
p000001s000001w000192,97.455,97.455,"F"
p000001s000001w000193,97.455,97.455,"F"
p000001s000001w000194,97.455,97.490,"F"
p000001s000001w000195,97.490,98.205,"F"
p000001s000001w000196,98.205,98.685,"F"
p000001s000001w000197,98.685,98.895,"F"
p000001s000001w000198,98.895,100.100,"football"
p000001s000001w000199,100.100,100.420,"and"
p000001s000001w000200,100.420,100.790,"playing"
p000001s000001w000201,100.790,101.280,"KR"
p000001s000001w000202,101.280,103.565,"cricket."
p000001s000001w000203,103.565,104.920,"Um,"
p000001s000001w000204,104.920,105.020,"are"
p000001s000001w000205,105.020,105.135,"two"
p000001s000001w000206,105.135,105.325,"minutes"
p000001s000001w000207,105.325,105.530,"over"
p000001s000001w000208,105.530,105.595,"yet?"
p000001s000001w000209,105.595,108.520,"Alright,"
p000001s000001w000210,108.520,109.565,"m,"
p000001s000001w000211,109.565,114.335,"my"
p000001s000001w000212,114.335,114.925,"family,"
p000001s000001w000213,114.925,115.150,"um"
p000001s000001w000214,115.150,116.770,"right,"
p000001s000001w000215,116.770,117.025,"my"
p000001s000001w000216,117.025,117.520,"dad"
p000001s000001w000217,117.520,119.515,"HHHHHe"
p000001s000001w000218,119.515,119.850,"is"
p000001s000001w000219,119.850,120.575,"FAW"
p000001s000001w000220,120.575,121.040,"FA"
p000001s000001w000221,121.040,121.475,"forty"
p000001s000001w000222,121.475,123.045,"four"
p000001s000001w000223,123.045,123.360,"AND"
p000001s000001w000224,123.360,123.745,"AND"
p000001s000001w000225,123.745,123.850,"he"
p000001s000001w000226,123.850,124.300,"works"
p000001s000001w000227,124.300,124.630,"as"
p000001s000001w000228,124.630,124.850,"an"
